Month,Aggregate,Delayable,Social,Staple,Work_Related
Jan-20,95.8,96.2,94.37,96.59,96.19
Feb-20,100,100,100,100,100
Mar-20,90.76,91.66,68.94,109.61,91.34
Apr-20,55.85,54.61,21.13,93.23,36.46
May-20,66.21,68.18,29.07,101.98,47.93
Jun-20,78.49,87.47,42.04,104.7,65.17
Jul-20,84.81,95.39,53.18,102.82,80.82
Aug-20,88.09,97.8,60.7,101.65,91.23
Sep-20,90.72,100.36,65.5,102.43,93.57
Oct-20,90.22,102.86,61.71,103.39,84.72
Nov-20,85.77,91.76,55.39,109.73,72.67
Dec-20,103.49,130.44,56.18,122.4,77.04
Jan-21,65.8,53.1,45.48,100.74,55.83
Feb-21,73.85,58.54,56.68,109.01,63.06
Mar-21,80.63,62.72,65.31,115.93,74.82
Apr-21,92.95,91.28,71.94,114.29,91.94
May-21,98.57,98.6,83.89,111.71,99.89
Jun-21,94.95,88.26,82.59,110.1,111.78
Jul-21,94.95,88.66,85.83,106.27,113.76
Aug-21,95.57,88.85,92.01,102.17,114.83
Sep-21,96.04,88.59,91.15,102.83,123.91
Oct-21,98.99,93.82,95.89,104.77,112.21
Nov-21,104.68,106.39,93.8,109.61,119.18
Dec-21,113.61,124.76,87.79,124.54,114.86
Jan-22,86.5,70.57,85.16,102.14,102.25
Feb-22,95.65,79.56,98.17,107.21,114.8
Mar-22,100.66,83.81,102.97,112.87,121.6
Apr-22,102.38,87.18,103.14,113.41,126.71
May-22,104.08,87.81,108.37,112.79,129.86
Jun-22,101.07,83.95,101.33,113.21,132.36
Jul-22,101.85,84.82,100.52,112.68,145.6
Aug-22,97.14,80.3,96.14,108.27,137.1
Sep-22,97.65,81.32,96.17,108.67,137.47
Oct-22,101.13,86.32,100.69,110.47,136.49
Nov-22,106.43,99.95,97.83,114.57,138.76
Dec-22,119.9,127.1,93.81,133.2,131.63
Jan-23,94.54,72.47,96.07,112.94,117.04
Feb-23,100.33,78.31,100.96,118.58,127.13
Mar-23,103.12,75.57,106.13,125.12,131.13
Apr-23,103.37,78.25,103.42,125.45,131.01
May-23,106.18,84.54,106.17,124.86,131.8
Jun-23,105.63,86.06,105.63,121.18,134.89
Jul-23,102.94,84.35,106.02,114.61,132.1
Aug-23,99.86,84.74,98.52,111.92,128.06
Sep-23,99.82,80.09,100.42,113.51,136.02
Oct-23,99.81,79.74,99.01,114.76,137.88
Nov-23,107.07,98.62,94.08,121.64,138.59
Dec-23,119.82,125,91.23,137.97,130.24
Jan-24,92.73,67.53,,113.81,
Feb-24,97.7,69.5,,119.53,
